url num_files insertions deletions
https://github.com/secure-foundations/ironsync-osdi2023/commit/d9ec71e070bee29029e724b310c1e88fe96a5e69 1 1 0
https://github.com/secure-foundations/ironsync-osdi2023/commit/1beb6f46e8035ee20f2d418b576627c1224f0929 3 0 0
https://github.com/secure-foundations/ironsync-osdi2023/commit/ebbdff4a4432a65077639efc0cd0a32b430c37e5 8 8 8
https://github.com/secure-foundations/ironsync-osdi2023/commit/536a20227fbfb517221cc397b46a6125ad1fae52 1 1 1
https://github.com/secure-foundations/ironsync-osdi2023/commit/f22b254425f4daf43195b80b542828e587ac6a20 2 3 1
https://github.com/secure-foundations/ironsync-osdi2023/commit/408fdef945e0c92b180c135ae49e59854e1f9ce3 1 1 0
https://github.com/secure-foundations/ironsync-osdi2023/commit/a03a96160c03fa7c29fae2b6484bfd69146dbe97 1 6 2
https://github.com/secure-foundations/ironsync-osdi2023/commit/54adb231eb8e5eb007e1af82e5079920ee001431 2 149 98
https://github.com/secure-foundations/ironsync-osdi2023/commit/f4821e1edfffaa1bd8bb0e1b49547af1284b372d 2 47 15
https://github.com/secure-foundations/ironsync-osdi2023/commit/1b69729e91ac4b04d1c5bdd91636eeb6c250173a 2 114 308
https://github.com/just-me-/dafny-language-server/commit/5f153447b6ac1b0f904290d4eb3d7bd21ccc2e1b 1 14 4
https://github.com/secure-foundations/ironsync-osdi2023/commit/d9e067850effa7ca391a6e76968a05b9192e6610 2 14 1
https://github.com/namin/dafny-sandbox/commit/69a4753503d37bbd9843f9383c6778eae530e06d 1 3 1
https://github.com/secure-foundations/ironsync-osdi2023/commit/11ff2e909f416d6323e4cc8b4ec4b761bfe5c131 1 16 5
https://github.com/secure-foundations/ironsync-osdi2023/commit/10aa0669984fb16b19559e56306d89ad2aa73669 1 3 2
https://github.com/alexiadorneles/pucrs-metodos-formais-t1/commit/aa843fb9d42c6b4a292a470e13111b98b5ebc950 1 43 15
https://github.com/secure-foundations/ironsync-osdi2023/commit/de17b08948ef1484504b50447b49ebc60d6f447d 1 111 113
https://github.com/secure-foundations/ironsync-osdi2023/commit/e86374368a070be622331bd46cb74b3760f17b0b 1 3 6
https://github.com/secure-foundations/ironsync-osdi2023/commit/707ecfdf274341b65199cdaa83a3ddd0433d10eb 2 40 39
https://github.com/secure-foundations/ironsync-osdi2023/commit/fa371f924cb7cda38178380ab92264316d2e5687 4 36 10
https://github.com/just-me-/dafny-language-server/commit/e0b487fc113a1f8e93cc73b7200b78f48823c32a 2 14 4
https://github.com/secure-foundations/ironsync-osdi2023/commit/8275ffcc8b95c6a8044a157e2c34b58d7f01d3a4 3 23 7
https://github.com/secure-foundations/ironsync-osdi2023/commit/fe81bb7c13b6f7b174b49834e738ab455e4631e8 1 12 1
https://github.com/secure-foundations/ironsync-osdi2023/commit/2868f40faca2b36443a37a24ffe2487ee263922f 1 4 2
https://github.com/secure-foundations/ironsync-osdi2023/commit/7ca13769ab91e97ffb6f171992d29bb9b9d7cc74 1 20 31
https://github.com/secure-foundations/ironsync-osdi2023/commit/df13a0239665e86c21f3d4ab25e510d529c936bf 2 35 1
https://github.com/secure-foundations/ironsync-osdi2023/commit/acaf74e286227d67d4417bc12b5e28f4e1917035 2 55 13
https://github.com/secure-foundations/ironsync-osdi2023/commit/7520bc5fc0658a1420db5b7baf2a0992d1bb6ec4 9 20 8
https://github.com/secure-foundations/ironsync-osdi2023/commit/fc52c339c54f440549f1a372a9516071421f8186 4 19 6
https://github.com/dafny-lang/libraries/commit/c8ef2d688affb7ec0ef0f0c5b006a40ce4ad8e5e 5 8 16
https://github.com/secure-foundations/ironsync-osdi2023/commit/82844ac8a48b67be1bcc70952b89d5ac44159dfd 1 1 1
https://github.com/dafny-lang/Dafny-VMC/commit/38e583e022484ebeb9997f193b0baa5a4f6faf86 4 2 8
https://github.com/SwampertX/dafny-rope/commit/3d5570be28081829b7eccf3ffc65a71eeef9c63f 1 97 2
