commit_url,num_dfy_files,num_insertions,num_deletions
https://github.com/aws/aws-encryption-sdk/commit/a0e51f0f49930c870ed81160569634248d1ba21c,20,357,77
https://github.com/aws/aws-encryption-sdk/commit/a1a8a3f59135fd0d613fcc2dcf89906226c8dc19,5,404,40
https://github.com/aws/aws-encryption-sdk/commit/a1be1b09ac5dca052785d958cda999e815d825f8,1,9,9
https://github.com/aws/aws-encryption-sdk/commit/a2fe9e95eb6c2b1ba14af368d8ce2a4263f88388,3,43,91
https://github.com/aws/aws-encryption-sdk/commit/a3bf11646d75b8acae190268ef2c43b4c2c4ddd1,1,41,43
https://github.com/aws/aws-encryption-sdk/commit/a3fd8b9828c4b886ae223cf119b95d1ff1a72edf,1,11,5
https://github.com/aws/aws-encryption-sdk/commit/a4d4b8e3de2181e789132e3c2ed89987d60e96ec,1,5,5
https://github.com/aws/aws-encryption-sdk/commit/a530936df4d8cd77a2b75b9ab18e6e992934e7fb,2,1,3
https://github.com/aws/aws-encryption-sdk/commit/a81b245a0ecd5b9df6bc6d4c799f23e80361ac50,1,9,9
https://github.com/aws/aws-encryption-sdk/commit/a8530e77bc6f12a4f89b360e3e7239610f7e4e40,12,445,445
https://github.com/aws/aws-encryption-sdk/commit/aa443332af687f49f16a06ece1281407ebf4eaac,5,287,22
https://github.com/aws/aws-encryption-sdk/commit/ad16e1753c24210aa9077625ef4c1df65f45f7ea,1,1,1
https://github.com/aws/aws-encryption-sdk/commit/ad373e97ea499494343f94cbba4458fec6bac66b,3,12,5
https://github.com/aws/aws-encryption-sdk/commit/b0cdbd8abe5f3291c48af0da60a06a5b8d3e9259,2,3,10
https://github.com/aws/aws-encryption-sdk/commit/b1e789b124231d3bbf44f43dc60389080b09fcee,10,170,237
https://github.com/aws/aws-encryption-sdk/commit/b409ea5a014bbdb8e0ff7c02783b452cc2c39476,6,71,92
https://github.com/aws/aws-encryption-sdk/commit/b6747989837bd81990b881ca60c577c7c51f76a7,34,2728,4792
https://github.com/aws/aws-encryption-sdk/commit/b8bb42eaed1aa004197bc591c9d8c4b1f15599c7,2,1,4
https://github.com/aws/aws-encryption-sdk/commit/b9aac16c41a17bfed0762210f3dda02012338d31,5,69,69
